id_alumne,id_professor,dia,franja,materia,grup_curs,tipus_falta,comentari
166,443,2014-10-14,12:50:00-13:45:00,(TE2)Tecnologies,(ESO LOE 2 B) 2 ESO B,Justificada,
59,443,2014-10-14,12:50:00-13:45:00,(TE2)Tecnologies,(ESO LOE 2 B) 2 ESO B,Absència,
126,450,2014-10-14,12:50:00-13:45:00,UF2. Gestors d arxius web,(CFPM IC10 C) 3 CFPM,Retard,
127,450,2014-10-14,12:50:00-13:45:00,UF2. Gestors d arxius web,(CFPM IC10 C) 3 CFPM,Retard,
101,449,2014-10-13,11:35:00-12:35:00,(AUT3)Automatismes 3,(OPTATIVES ESO 3),Absència, 
83,424,2014-10-13,11:35:00-12:35:00,(MA3)Matemàtiques,(ESO LOE 3 A) 3 ESO A,Justificada, 
27,424,2014-10-14,10:40:00-11:35:00,(MA3)Matemàtiques,(ESO LOE 3 C) 3 ESO C,Absència,
57,424,2014-10-14,11:35:00-12:35:00,(MA3)Matemàtiques,(ESO LOE 3 A) 3 ESO A,Justificada,
112,424,2014-10-14,11:35:00-12:35:00,(MA3)Matemàtiques,(ESO LOE 3 A) 3 ESO A,Justificada,
150,439,2014-10-17,08:15:00-09:15:00,(MA2)Matemàtiques,(ESO LOE 2 A) 2 ESO A,Justificada, 
177,439,2014-10-17,09:15:00-10:15:00,(MA2)Matemàtiques,(ESO LOE 2 B) 2 ESO B,Justificada, 
76,439,2014-10-17,09:15:00-10:15:00,(MA2)Matemàtiques,(ESO LOE 2 B) 2 ESO B,Absència, 
179,439,2014-10-17,11:35:00-12:35:00,(MA2)Matemàtiques,(ESO LOE 2 C) 2 ESO C,Absència, 
175,443,2014-10-20,08:15:00-09:15:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Absència,
38,443,2014-10-20,08:15:00-09:15:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Absència,
149,443,2014-10-20,08:15:00-09:15:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Justificada,
97,443,2014-10-20,08:15:00-09:15:00,(TE2)Tecnologies,(ESO LOE 2 A) 2 ESO A,Absència,
